contract_id,text,domain
CTR-0113,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2025-07-15, by and between Horizon Commercial Properties (""First Party"") and John Doe (Individual) (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

MASTER VENDOR & SUPPLIER AGREEMENT

1. SUPPLY OF GOODS AND PRODUCTS
Supplier agrees to sell and deliver, and Buyer agrees to purchase, the goods and materials listed in attached Purchase Orders (""Products""). Supplier warrants that all Products supplied shall strictly conform to specifications, quality standards, and industry requirements.

2. PURCHASE ORDERS AND DELIVERY SCHEDULES
Buyer shall issue written Purchase Orders specifying product quantities, requested delivery dates, and shipping terms (FOB Destination). Supplier shall confirm orders within two (2) business days. Time is of the essence regarding all scheduled delivery dates.

3. INSPECTION, ACCEPTANCE, AND DEFECTIVE GOODS
Buyer reserves the right to inspect all delivered goods within ten (10) business days. Defective, damaged, or non-conforming items may be rejected and returned to Supplier at Supplier's sole risk and expense for full credit or replacement.

4. PRICING AND PAYMENT TERMS
Product pricing shall remain fixed for the duration of the agreement term. Payment terms shall be Net 60 days following receipt of correct invoice and accepted Products. Supplier warrants free and clear title to all supplied goods.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2025-07-15",Vendor / Supplier
CTR-0114,"MEMORANDUM OF AGREEMENT dated 2024-03-17, between Apex Enterprise Solutions LLC (hereinafter referred to as ""Company"") and Jane Smith (Individual) (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

PROCUREMENT AND GOODS SUPPLY CONTRACT

Clause 1. Vendor Obligations
Vendor agrees to manufacture, package, label, and transport goods to Customer's designated distribution centers. Vendor covenants that all raw materials and inventory comply with applicable environmental and safety regulations.

Clause 2. Warranty & Remedies
Vendor expressly warrants that all products sold hereunder shall be new, merchantable, free from defects in material and workmanship, and fit for their intended purpose for a period of twenty-four (24) months from delivery.

Clause 3. Volume Rebates & Lead Times
Vendor agrees to maintain lead times not exceeding 14 calendar days. If annual purchase volume exceeds $1,000,000, Vendor shall issue Customer a 3% annual rebate paid quarterly.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-03-17",Vendor / Supplier
CTR-0115,"THIS CONTRACT is made effective as of 2023-08-21, by and among Acme Legal Technologies Inc., having its principal place of business at 970 Commercial Blvd, Suite 42, New York, NY 10001, and Jane Smith (Individual), residing at or having offices at 914 Enterprise Way, Floor 18, San Francisco, CA 94105. WITNESSETH, that for good and valuable consideration, the parties agree as follows:

MASTER VENDOR & SUPPLIER AGREEMENT

1. SUPPLY OF GOODS AND PRODUCTS
Supplier agrees to sell and deliver, and Buyer agrees to purchase, the goods and materials listed in attached Purchase Orders (""Products""). Supplier warrants that all Products supplied shall strictly conform to specifications, quality standards, and industry requirements.

2. PURCHASE ORDERS AND DELIVERY SCHEDULES
Buyer shall issue written Purchase Orders specifying product quantities, requested delivery dates, and shipping terms (FOB Destination). Supplier shall confirm orders within two (2) business days. Time is of the essence regarding all scheduled delivery dates.

3. INSPECTION, ACCEPTANCE, AND DEFECTIVE GOODS
Buyer reserves the right to inspect all delivered goods within ten (10) business days. Defective, damaged, or non-conforming items may be rejected and returned to Supplier at Supplier's sole risk and expense for full credit or replacement.

4. PRICING AND PAYMENT TERMS
Product pricing shall remain fixed for the duration of the agreement term. Payment terms shall be Net 60 days following receipt of correct invoice and accepted Products. Supplier warrants free and clear title to all supplied goods.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-08-21",Vendor / Supplier
CTR-0116,"MEMORANDUM OF AGREEMENT dated 2024-08-24, between Acme Legal Technologies Inc. (hereinafter referred to as ""Company"") and Beacon Logistics Ltd. (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

MASTER VENDOR & SUPPLIER AGREEMENT

1. SUPPLY OF GOODS AND PRODUCTS
Supplier agrees to sell and deliver, and Buyer agrees to purchase, the goods and materials listed in attached Purchase Orders (""Products""). Supplier warrants that all Products supplied shall strictly conform to specifications, quality standards, and industry requirements.

2. PURCHASE ORDERS AND DELIVERY SCHEDULES
Buyer shall issue written Purchase Orders specifying product quantities, requested delivery dates, and shipping terms (FOB Destination). Supplier shall confirm orders within two (2) business days. Time is of the essence regarding all scheduled delivery dates.

3. INSPECTION, ACCEPTANCE, AND DEFECTIVE GOODS
Buyer reserves the right to inspect all delivered goods within ten (10) business days. Defective, damaged, or non-conforming items may be rejected and returned to Supplier at Supplier's sole risk and expense for full credit or replacement.

4. PRICING AND PAYMENT TERMS
Product pricing shall remain fixed for the duration of the agreement term. Payment terms shall be Net 60 days following receipt of correct invoice and accepted Products. Supplier warrants free and clear title to all supplied goods.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-08-24",Vendor / Supplier
CTR-0117,"MEMORANDUM OF AGREEMENT dated 2023-04-25, between Pinnacle Software Inc. (hereinafter referred to as ""Company"") and Beacon Logistics Ltd. (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

PROCUREMENT AND GOODS SUPPLY CONTRACT

Clause 1. Vendor Obligations
Vendor agrees to manufacture, package, label, and transport goods to Customer's designated distribution centers. Vendor covenants that all raw materials and inventory comply with applicable environmental and safety regulations.

Clause 2. Warranty & Remedies
Vendor expressly warrants that all products sold hereunder shall be new, merchantable, free from defects in material and workmanship, and fit for their intended purpose for a period of twenty-four (24) months from delivery.

Clause 3. Volume Rebates & Lead Times
Vendor agrees to maintain lead times not exceeding 14 calendar days. If annual purchase volume exceeds $1,000,000, Vendor shall issue Customer a 3% annual rebate paid quarterly.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-04-25",Vendor / Supplier
CTR-0118,"MEMORANDUM OF AGREEMENT dated 2024-03-12, between Vanguard Financial Ltd. (hereinafter referred to as ""Company"") and Jane Smith (Individual) (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

MASTER VENDOR & SUPPLIER AGREEMENT

1. SUPPLY OF GOODS AND PRODUCTS
Supplier agrees to sell and deliver, and Buyer agrees to purchase, the goods and materials listed in attached Purchase Orders (""Products""). Supplier warrants that all Products supplied shall strictly conform to specifications, quality standards, and industry requirements.

2. PURCHASE ORDERS AND DELIVERY SCHEDULES
Buyer shall issue written Purchase Orders specifying product quantities, requested delivery dates, and shipping terms (FOB Destination). Supplier shall confirm orders within two (2) business days. Time is of the essence regarding all scheduled delivery dates.

3. INSPECTION, ACCEPTANCE, AND DEFECTIVE GOODS
Buyer reserves the right to inspect all delivered goods within ten (10) business days. Defective, damaged, or non-conforming items may be rejected and returned to Supplier at Supplier's sole risk and expense for full credit or replacement.

4. PRICING AND PAYMENT TERMS
Product pricing shall remain fixed for the duration of the agreement term. Payment terms shall be Net 60 days following receipt of correct invoice and accepted Products. Supplier warrants free and clear title to all supplied goods.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-03-12",Vendor / Supplier
CTR-0119,"THIS CONTRACT is made effective as of 2023-04-27, by and among Global Supply Chain Corp., having its principal place of business at 715 Commercial Blvd, Suite 317, New York, NY 10001, and Summit Industrial Holdings, residing at or having offices at 838 Enterprise Way, Floor 20, San Francisco, CA 94105. WITNESSETH, that for good and valuable consideration, the parties agree as follows:

MASTER VENDOR & SUPPLIER AGREEMENT

1. SUPPLY OF GOODS AND PRODUCTS
Supplier agrees to sell and deliver, and Buyer agrees to purchase, the goods and materials listed in attached Purchase Orders (""Products""). Supplier warrants that all Products supplied shall strictly conform to specifications, quality standards, and industry requirements.

2. PURCHASE ORDERS AND DELIVERY SCHEDULES
Buyer shall issue written Purchase Orders specifying product quantities, requested delivery dates, and shipping terms (FOB Destination). Supplier shall confirm orders within two (2) business days. Time is of the essence regarding all scheduled delivery dates.

3. INSPECTION, ACCEPTANCE, AND DEFECTIVE GOODS
Buyer reserves the right to inspect all delivered goods within ten (10) business days. Defective, damaged, or non-conforming items may be rejected and returned to Supplier at Supplier's sole risk and expense for full credit or replacement.

4. PRICING AND PAYMENT TERMS
Product pricing shall remain fixed for the duration of the agreement term. Payment terms shall be Net 60 days following receipt of correct invoice and accepted Products. Supplier warrants free and clear title to all supplied goods.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-04-27",Vendor / Supplier
CTR-0120,"THIS CONTRACT is made effective as of 2025-06-14, by and among Horizon Commercial Properties, having its principal place of business at 496 Commercial Blvd, Suite 450, New York, NY 10001, and Beacon Logistics Ltd., residing at or having offices at 959 Enterprise Way, Floor 19, San Francisco, CA 94105. WITNESSETH, that for good and valuable consideration, the parties agree as follows:

PROCUREMENT AND GOODS SUPPLY CONTRACT

Clause 1. Vendor Obligations
Vendor agrees to manufacture, package, label, and transport goods to Customer's designated distribution centers. Vendor covenants that all raw materials and inventory comply with applicable environmental and safety regulations.

Clause 2. Warranty & Remedies
Vendor expressly warrants that all products sold hereunder shall be new, merchantable, free from defects in material and workmanship, and fit for their intended purpose for a period of twenty-four (24) months from delivery.

Clause 3. Volume Rebates & Lead Times
Vendor agrees to maintain lead times not exceeding 14 calendar days. If annual purchase volume exceeds $1,000,000, Vendor shall issue Customer a 3% annual rebate paid quarterly.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2025-06-14",Vendor / Supplier
CTR-0121,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2024-05-12, by and between Pinnacle Software Inc. (""First Party"") and Zenith Capital Advisors (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

PROFESSIONAL SERVICES CONTRACT

Section 1. Engagement & Deliverables
Client hereby engages Contractor to render consulting, analytical, and management services. Contractor agrees to deliver project reports, software code, and documentation specified in Exhibit A by the agreed completion deadline.

Section 2. Revisions & Scope Changes
Any request by Client to modify the scope of services, deliverables, or timeline must be set forth in a formal written Change Order signed by both parties, detailing adjustments to fees and timelines.

Section 3. Acceptance Testing
Client shall have a period of fourteen (14) business days following delivery of each milestone to evaluate and test the deliverables against acceptance criteria.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-05-12",Service Agreement
CTR-0122,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2024-02-10, by and between Apex Enterprise Solutions LLC (""First Party"") and John Doe (Individual) (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

PROFESSIONAL SERVICES CONTRACT

Section 1. Engagement & Deliverables
Client hereby engages Contractor to render consulting, analytical, and management services. Contractor agrees to deliver project reports, software code, and documentation specified in Exhibit A by the agreed completion deadline.

Section 2. Revisions & Scope Changes
Any request by Client to modify the scope of services, deliverables, or timeline must be set forth in a formal written Change Order signed by both parties, detailing adjustments to fees and timelines.

Section 3. Acceptance Testing
Client shall have a period of fourteen (14) business days following delivery of each milestone to evaluate and test the deliverables against acceptance criteria.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-02-10",Service Agreement
CTR-0123,"MEMORANDUM OF AGREEMENT dated 2023-08-24, between Pinnacle Software Inc. (hereinafter referred to as ""Company"") and Zenith Capital Advisors (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

MASTER SERVICES AGREEMENT (MSA)

1. SERVICES AND STATEMENTS OF WORK (SOW)
Service Provider agrees to perform professional services for Client as described in individual Statements of Work (""SOW"") executed from time to time by both parties. Each SOW shall detail the scope of work, project milestones, deliverables, schedule, and fee structure.

2. PERFORMANCE STANDARDS AND SERVICE LEVELS
Service Provider shall perform all services in a professional, workmanlike manner exercising reasonable skill and diligence consistent with industry best standards. Service Provider agrees to meet designated Service Level Agreements (SLAs) set forth in the applicable SOW.

3. COMPENSATION AND INVOICING
Client shall compensate Service Provider according to the rates and milestone schedules set forth in the applicable SOW. Invoices shall be submitted monthly and paid within thirty (30) days of invoice date. Late payments shall accrue interest at 1.5% per month.

4. INDEPENDENT CONTRACTOR STATUS
Service Provider is an independent contractor. Neither Service Provider nor its personnel shall be deemed employees, partners, or joint venturers of Client for any purpose.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-08-24",Service Agreement
CTR-0124,"MEMORANDUM OF AGREEMENT dated 2023-09-23, between Global Supply Chain Corp. (hereinafter referred to as ""Company"") and Jane Smith (Individual) (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

PROFESSIONAL SERVICES CONTRACT

Section 1. Engagement & Deliverables
Client hereby engages Contractor to render consulting, analytical, and management services. Contractor agrees to deliver project reports, software code, and documentation specified in Exhibit A by the agreed completion deadline.

Section 2. Revisions & Scope Changes
Any request by Client to modify the scope of services, deliverables, or timeline must be set forth in a formal written Change Order signed by both parties, detailing adjustments to fees and timelines.

Section 3. Acceptance Testing
Client shall have a period of fourteen (14) business days following delivery of each milestone to evaluate and test the deliverables against acceptance criteria.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-09-23",Service Agreement
CTR-0125,"MEMORANDUM OF AGREEMENT dated 2023-06-16, between Horizon Commercial Properties (hereinafter referred to as ""Company"") and Omega Retail Systems (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

MASTER SERVICES AGREEMENT (MSA)

1. SERVICES AND STATEMENTS OF WORK (SOW)
Service Provider agrees to perform professional services for Client as described in individual Statements of Work (""SOW"") executed from time to time by both parties. Each SOW shall detail the scope of work, project milestones, deliverables, schedule, and fee structure.

2. PERFORMANCE STANDARDS AND SERVICE LEVELS
Service Provider shall perform all services in a professional, workmanlike manner exercising reasonable skill and diligence consistent with industry best standards. Service Provider agrees to meet designated Service Level Agreements (SLAs) set forth in the applicable SOW.

3. COMPENSATION AND INVOICING
Client shall compensate Service Provider according to the rates and milestone schedules set forth in the applicable SOW. Invoices shall be submitted monthly and paid within thirty (30) days of invoice date. Late payments shall accrue interest at 1.5% per month.

4. INDEPENDENT CONTRACTOR STATUS
Service Provider is an independent contractor. Neither Service Provider nor its personnel shall be deemed employees, partners, or joint venturers of Client for any purpose.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-06-16",Service Agreement
CTR-0126,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2025-02-16, by and between Vanguard Financial Ltd. (""First Party"") and Jane Smith (Individual) (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

MASTER SERVICES AGREEMENT (MSA)

1. SERVICES AND STATEMENTS OF WORK (SOW)
Service Provider agrees to perform professional services for Client as described in individual Statements of Work (""SOW"") executed from time to time by both parties. Each SOW shall detail the scope of work, project milestones, deliverables, schedule, and fee structure.

2. PERFORMANCE STANDARDS AND SERVICE LEVELS
Service Provider shall perform all services in a professional, workmanlike manner exercising reasonable skill and diligence consistent with industry best standards. Service Provider agrees to meet designated Service Level Agreements (SLAs) set forth in the applicable SOW.

3. COMPENSATION AND INVOICING
Client shall compensate Service Provider according to the rates and milestone schedules set forth in the applicable SOW. Invoices shall be submitted monthly and paid within thirty (30) days of invoice date. Late payments shall accrue interest at 1.5% per month.

4. INDEPENDENT CONTRACTOR STATUS
Service Provider is an independent contractor. Neither Service Provider nor its personnel shall be deemed employees, partners, or joint venturers of Client for any purpose.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2025-02-16",Service Agreement
CTR-0127,"MEMORANDUM OF AGREEMENT dated 2024-04-19, between Vanguard Financial Ltd. (hereinafter referred to as ""Company"") and John Doe (Individual) (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

PROFESSIONAL SERVICES CONTRACT

Section 1. Engagement & Deliverables
Client hereby engages Contractor to render consulting, analytical, and management services. Contractor agrees to deliver project reports, software code, and documentation specified in Exhibit A by the agreed completion deadline.

Section 2. Revisions & Scope Changes
Any request by Client to modify the scope of services, deliverables, or timeline must be set forth in a formal written Change Order signed by both parties, detailing adjustments to fees and timelines.

Section 3. Acceptance Testing
Client shall have a period of fourteen (14) business days following delivery of each milestone to evaluate and test the deliverables against acceptance criteria.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-04-19",Service Agreement
CTR-0128,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2024-08-19, by and between Apex Enterprise Solutions LLC (""First Party"") and Jane Smith (Individual) (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

MASTER SERVICES AGREEMENT (MSA)

1. SERVICES AND STATEMENTS OF WORK (SOW)
Service Provider agrees to perform professional services for Client as described in individual Statements of Work (""SOW"") executed from time to time by both parties. Each SOW shall detail the scope of work, project milestones, deliverables, schedule, and fee structure.

2. PERFORMANCE STANDARDS AND SERVICE LEVELS
Service Provider shall perform all services in a professional, workmanlike manner exercising reasonable skill and diligence consistent with industry best standards. Service Provider agrees to meet designated Service Level Agreements (SLAs) set forth in the applicable SOW.

3. COMPENSATION AND INVOICING
Client shall compensate Service Provider according to the rates and milestone schedules set forth in the applicable SOW. Invoices shall be submitted monthly and paid within thirty (30) days of invoice date. Late payments shall accrue interest at 1.5% per month.

4. INDEPENDENT CONTRACTOR STATUS
Service Provider is an independent contractor. Neither Service Provider nor its personnel shall be deemed employees, partners, or joint venturers of Client for any purpose.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-08-19",Service Agreement
